epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
0	0.63646764	0.31827551045933283	0.00033	0.3428126	0.63663745	0.7946897	0.8155668377876282	1.0945125818252563	0.42441225051879883	0.8155668377876282	0.8155667781829834
1	0.7595976	0.14573565447652662	0.00033	0.43099564	0.7598726	0.9242386	0.940485417842865	1.0486178398132324	0.4702429473400116	0.940485417842865	0.940485417842865
2	0.75343716	0.12237261396807593	0.00033	0.43567094	0.7496393	0.93190217	0.9403359293937683	0.6236833930015564	0.5142142176628113	0.9403359293937683	0.9403359293937683
3	0.7563546	0.1064591860851726	0.00033	0.45230392	0.7537322	0.9395765	0.9179492592811584	0.27086949348449707	0.6411017775535583	0.9179492592811584	0.9179492592811584
4	0.76832557	0.10341849661356695	0.00033	0.4646939	0.7667984	0.9408086	0.959416389465332	0.09285558760166168	0.7145350575447083	0.959416389465332	0.959416389465332
5	0.7671466	0.0897910153946361	0.00033	0.47203055	0.7654458	0.94557834	0.9680060744285583	0.07737620919942856	0.745124101638794	0.9680060744285583	0.9680060744285583
6	0.77197486	0.08806899663161587	0.00033	0.47771057	0.7713439	0.9468193	0.9685174822807312	0.0644470602273941	0.7696885466575623	0.9685174822807312	0.9685174822807312
7	0.7670877	0.07713740560654048	0.00033	0.4801278	0.7641245	0.950505	0.9731267094612122	0.08574280142784119	0.7588417530059814	0.9731267094612122	0.9731267094612122
8	0.77842903	0.07377413690492914	0.00033	0.49333954	0.769876	0.95244	0.9750572443008423	0.09075919538736343	0.7696676254272461	0.9750572443008423	0.9750572443008423
9	0.7647857	0.07275808743528418	0.00033	0.48093116	0.7630449	0.9520539	0.9682977199554443	0.10277855396270752	0.7600306868553162	0.9682977199554443	0.9682977199554443
10	0.77133954	0.06618666981120368	0.00033	0.49090984	0.7687499	0.95502937	0.9746591448783875	0.08170652389526367	0.7987082004547119	0.9746591448783875	0.9746591448783875
11	0.76680267	0.060772110984937566	0.00033	0.48553926	0.7605493	0.95693403	0.9723628759384155	0.09357242286205292	0.7888665795326233	0.9723628759384155	0.9723628759384155
12	0.7780843	0.060701637352640565	3.3000001e-06	0.50649166	0.7762241	0.9568152	0.9770612120628357	0.0724552646279335	0.8103589415550232	0.9770612120628357	0.9770612120628357
13	0.7724368	0.059046957742523505	3.3000001e-06	0.49794513	0.76999265	0.9576781	0.979041337966919	0.05950673297047615	0.8200588822364807	0.979041337966919	0.979041337966919
14	0.7764213	0.05846266247130729	3.3000001e-06	0.5029164	0.77282697	0.95796376	0.9797476530075073	0.05448363348841667	0.8252848982810974	0.9797476530075073	0.9797476530075073
15	0.7750005	0.05806929920170758	3.3000001e-06	0.49661332	0.7701637	0.95845515	0.9801356196403503	0.05423600226640701	0.8262580037117004	0.9801356196403503	0.9801356196403503
16	0.7765047	0.058056770949750335	3.3000001e-06	0.50006086	0.77222455	0.9581577	0.980832040309906	0.04281622916460037	0.8300127387046814	0.980832040309906	0.980832040309906
17	0.782206	0.05833995744988725	3.3000001e-06	0.50773734	0.7786755	0.9579928	0.9805790781974792	0.046369124203920364	0.8286373019218445	0.9805790781974792	0.9805790781974792
18	0.77662075	0.057750016350198434	3.3000001e-06	0.5029011	0.77282965	0.95808417	0.9807019829750061	0.04987884312868118	0.8299292922019958	0.9807019829750061	0.9807019829750061
19	0.770409	0.056675558154647414	3.3000001e-06	0.4939174	0.7653543	0.9583753	0.9810604453086853	0.044937290251255035	0.8308839201927185	0.9810604453086853	0.9810604453086853
20	0.7814213	0.05834554578806903	3.3000001e-06	0.5096242	0.77464473	0.9580916	0.9810155630111694	0.04460863396525383	0.831271231174469	0.9810155630111694	0.9810155630111694
21	0.7821449	0.057497603969799506	3.3000001e-06	0.50583977	0.77752936	0.95853704	0.9809798002243042	0.04543497413396835	0.8302648067474365	0.9809798002243042	0.9809798002243042
22	0.7754271	0.055909326954467875	3.3000003e-08	0.5018854	0.7703743	0.95907795	0.9809649586677551	0.04745078831911087	0.8293854594230652	0.9809649586677551	0.9809649586677551
23	0.7846076	0.05829224493857976	3.3000003e-08	0.5118617	0.78091913	0.9583046	0.9808557629585266	0.04688175767660141	0.8315951228141785	0.9808557629585266	0.9808557629585266
24	0.7789889	0.05718191209677104	3.3000003e-08	0.50407726	0.77500725	0.9586038	0.9809189438819885	0.06725975126028061	0.8315470218658447	0.9809189438819885	0.9809189438819885
25	0.774872	0.05612753502823211	3.3000003e-08	0.49926576	0.7674458	0.9590496	0.9808967709541321	0.07488900423049927	0.8311802744865417	0.9808967709541321	0.9808967709541321
26	0.78059113	0.056657263052624626	3.3000003e-08	0.50725144	0.7762493	0.9588847	0.9812007546424866	0.06379053741693497	0.8349215984344482	0.9812007546424866	0.9812007546424866
27	0.78390926	0.057613712206885624	3.3000003e-10	0.51068735	0.7805254	0.9585269	0.9814330339431763	0.046987395733594894	0.8343096375465393	0.9814330339431763	0.9814330339431763
28	0.7722608	0.05528461077326053	3.3000003e-10	0.49081153	0.7653862	0.95969456	0.9807657599449158	0.045774511992931366	0.8299959301948547	0.9807657599449158	0.9807657599449158
29	0.7827387	0.058249598318660584	3.3000003e-10	0.5080493	0.77959496	0.95825607	0.9808059334754944	0.051402945071458817	0.8309691548347473	0.9808059334754944	0.9808059334754944
30	0.77497363	0.05637288043225134	3.3000003e-10	0.50348264	0.77074057	0.9588605	0.9808417558670044	0.05093572288751602	0.8303968906402588	0.9808417558670044	0.9808417558670044
31	0.7756021	0.05534249151477943	3.3000003e-10	0.49626067	0.7696183	0.95968676	0.9809553623199463	0.04381703585386276	0.830610990524292	0.9809553623199463	0.9809553623199463
32	0.778258	0.05779330271321374	3.3000002e-12	0.5053429	0.77326405	0.9583932	0.980840265750885	0.048453111201524734	0.831550121307373	0.980840265750885	0.980840265750885
33	0.7761544	0.05707063022497538	3.3000002e-12	0.50138956	0.77001625	0.9587143	0.9808550477027893	0.04534738510847092	0.8308577537536621	0.9808550477027893	0.9808550477027893
34	0.77689207	0.056875920074211585	3.3000002e-12	0.50327796	0.7718275	0.95853406	0.9808703660964966	0.04456154629588127	0.8311083316802979	0.9808703660964966	0.9808703660964966
35	0.7714435	0.05622555567203341	3.3000002e-12	0.49250856	0.7642799	0.958863	0.9807996153831482	0.043580494821071625	0.8311727643013	0.9807996153831482	0.9807996153831482
36	0.77578837	0.05673168851314364	3.3000002e-12	0.49844006	0.7703067	0.9587775	0.9808724522590637	0.04293149337172508	0.8297433853149414	0.9808724522590637	0.9808724522590637
37	0.7686727	0.055592468964892464	3.3000004e-14	0.49245334	0.7608612	0.95863515	0.9807757139205933	0.040764618664979935	0.8309668898582458	0.9807757139205933	0.9807757139205933
38	0.7749116	0.05681615242281476	3.3000004e-14	0.5042681	0.76856375	0.9583436	0.9806872010231018	0.05011430382728577	0.8292837142944336	0.9806872010231018	0.9806872010231018
39	0.7789681	0.056960328305895265	3.3000004e-14	0.5026062	0.77238274	0.95870954	0.9808054566383362	0.053093135356903076	0.8304455280303955	0.9808054566383362	0.9808054566383362
40	0.7766968	0.05669253792714428	3.3000004e-14	0.50009966	0.77195925	0.9587914	0.9808120131492615	0.06327983736991882	0.8310296535491943	0.9808120131492615	0.9808120131492615
41	0.77735364	0.05669592461875967	3.3000004e-14	0.504021	0.77200896	0.9589328	0.9811552166938782	0.05754690244793892	0.8324518799781799	0.9811552166938782	0.9811552166938782
42	0.77920514	0.05691652010018761	3.3000004e-14	0.5046926	0.77424955	0.9586979	0.9809557199478149	0.06401143968105316	0.831763505935669	0.9809557199478149	0.9809557199478149
43	0.78019804	0.05766232412409138	3.3000004e-16	0.5056632	0.776168	0.9583767	0.9811186194419861	0.0540330708026886	0.8325777649879456	0.9811186194419861	0.9811186194419861
44	0.7751677	0.05591604516312883	3.3000004e-16	0.50197905	0.7698286	0.95901865	0.9810739755630493	0.05467330664396286	0.8321684002876282	0.9810739755630493	0.9810739755630493
45	0.78065187	0.057740996214183604	3.3000004e-16	0.5065427	0.77573496	0.9585864	0.980860710144043	0.05374925211071968	0.8325357437133789	0.980860710144043	0.980860710144043
46	0.77358085	0.05631931357689806	3.3000004e-16	0.50165886	0.76834035	0.95870733	0.9807975888252258	0.05383181571960449	0.8309149742126465	0.9807975888252258	0.9807975888252258
47	0.7775703	0.05614660619883924	3.3000004e-16	0.50238323	0.7725167	0.95910794	0.9811503887176514	0.042396970093250275	0.8328149914741516	0.9811503887176514	0.9811503887176514
48	0.7770044	0.057541360927594674	3.3000005e-18	0.5026911	0.7725551	0.95834273	0.9807466864585876	0.046360861510038376	0.8308199048042297	0.9807466864585876	0.9807466864585876
49	0.7765771	0.056250625969590365	3.3000005e-18	0.50183797	0.77225405	0.95912635	0.9807102084159851	0.05009462684392929	0.830953061580658	0.9807102084159851	0.9807102084159851
50	0.77568334	0.055601574379850076	3.3000005e-18	0.4989935	0.76953256	0.9592882	0.980927586555481	0.04546066373586655	0.8310942649841309	0.980927586555481	0.980927586555481
51	0.77957946	0.05717120319604874	3.3000005e-18	0.5059942	0.77610177	0.9587407	0.980819582939148	0.045232437551021576	0.8314012885093689	0.980819582939148	0.980819582939148
52	0.7822311	0.057676192876454944	3.3000005e-18	0.5072958	0.7782477	0.9585539	0.9807685017585754	0.04590744525194168	0.8304043412208557	0.9807685017585754	0.9807685017585754
53	0.77836895	0.056877040883173816	3.3000005e-20	0.50302875	0.7741126	0.9588961	0.9808036684989929	0.04756978899240494	0.8295207619667053	0.9808036684989929	0.9808036684989929
54	0.77155954	0.05606950416758254	3.3000005e-20	0.49432868	0.76527935	0.9587948	0.9807361364364624	0.0468556210398674	0.8314622044563293	0.9807361364364624	0.9807361364364624
55	0.7813682	0.056797759557092514	3.3000005e-20	0.5075917	0.7762987	0.9589816	0.9808534979820251	0.06784629821777344	0.8316146731376648	0.9808534979820251	0.9808534979820251
56	0.76847124	0.054654441673207925	3.3000005e-20	0.4925433	0.76178896	0.9597853	0.9808710217475891	0.0754009261727333	0.8313824534416199	0.9808710217475891	0.9808710217475891
57	0.7808814	0.05707538973640751	3.3000005e-20	0.5096537	0.775657	0.95877755	0.981167197227478	0.06407428532838821	0.8349301218986511	0.981167197227478	0.981167197227478
58	0.77387655	0.05593978301496119	3.3000006e-22	0.49642098	0.7687612	0.95917445	0.9814223647117615	0.04687653109431267	0.834208071231842	0.9814223647117615	0.9814223647117615
59	0.77702653	0.05644713130754393	3.3000006e-22	0.5012994	0.77079433	0.9591837	0.9807767271995544	0.045709699392318726	0.8301814198493958	0.9807767271995544	0.9807767271995544
60	0.77065873	0.05592362361179816	3.3000006e-22	0.49372447	0.7647697	0.95894384	0.9808548092842102	0.05114150047302246	0.8311911225318909	0.9808548092842102	0.9808548092842102
61	0.778804	0.058651615236256574	3.3000006e-22	0.5013938	0.7742938	0.95803976	0.9808380007743835	0.05090939253568649	0.8304417729377747	0.9808380007743835	0.9808380007743835
62	0.7736903	0.05753606447094196	3.3000006e-22	0.4981572	0.7677522	0.9580792	0.980970561504364	0.043802641332149506	0.8307850956916809	0.980970561504364	0.980970561504364
63	0.78504187	0.057133814269626465	3.3000006e-24	0.51185477	0.78131	0.95879096	0.9808350205421448	0.04850970581173897	0.8317003846168518	0.9808350205421448	0.9808350205421448
