epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
23	0.8068876	0.03766125591622817	0.00033	0.54614115	0.7846452	0.96505433	0.9854821562767029	0.040220849215984344	0.8620942234992981	0.9854821562767029	0.9854821562767029
24	0.7962511	0.03595542429468116	3.3000001e-06	0.5277462	0.7731931	0.96644425	0.9874846935272217	0.027238231152296066	0.879244863986969	0.9874846935272217	0.9874846935272217
25	0.80494994	0.034404591078291066	3.3000001e-06	0.5422724	0.7840455	0.9671144	0.987981915473938	0.02660350129008293	0.886422336101532	0.987981915473938	0.987981915473938
26	0.7998343	0.032905697520520236	3.3000001e-06	0.5338404	0.7757188	0.9676551	0.9885303974151611	0.02379814349114895	0.8919933438301086	0.9885303974151611	0.9885303974151611
27	0.80602294	0.033091935706702436	3.3000001e-06	0.5455435	0.78427774	0.96757257	0.9886326193809509	0.02369311824440956	0.8926160335540771	0.9886326193809509	0.9886326193809509
28	0.8022212	0.03240924685992099	3.3000001e-06	0.54095507	0.7786469	0.96764624	0.9887457489967346	0.02357367053627968	0.8941972255706787	0.9887457489967346	0.9887457489967346
29	0.79797775	0.03213388961110566	3.3000001e-06	0.53620243	0.77286375	0.9678749	0.9887639284133911	0.025360405445098877	0.8953083157539368	0.9887639284133911	0.9887639284133911
30	0.7963927	0.03215040805170665	3.3000001e-06	0.53659755	0.7705614	0.9675001	0.9887936115264893	0.025958266109228134	0.8948147892951965	0.9887936115264893	0.9887936115264893
31	0.80369157	0.03274738632545278	3.3000001e-06	0.54488206	0.78147453	0.96747535	0.9887575507164001	0.02611902914941311	0.8947167992591858	0.9887575507164001	0.9887575507164001
32	0.796786	0.032121949451597964	3.3000001e-06	0.53574926	0.77166706	0.9675698	0.988797128200531	0.025764256715774536	0.8959543108940125	0.988797128200531	0.988797128200531
33	0.8055904	0.03258885050544868	3.3000001e-06	0.54816127	0.78338546	0.96765774	0.9887999892234802	0.02436012588441372	0.8952210545539856	0.9887999892234802	0.9887999892234802
