epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
0	0.7422572	0.2090052464926565	0.00033	0.38768324	0.71017814	0.8864411	0.9405299425125122	0.7196128964424133	0.4702651798725128	0.9405299425125122	0.9405299425125122
1	0.76373076	0.13529218914541039	0.00033	0.4269662	0.7402146	0.9227912	0.9501780867576599	0.17582567036151886	0.6084507703781128	0.9501780867576599	0.9501780867576599
2	0.7840323	0.11855505245762903	0.00033	0.45633632	0.7474174	0.9293773	0.9539146423339844	0.20348095893859863	0.6086767315864563	0.9539146423339844	0.9539146423339844
3	0.792643	0.10163566872880266	0.00033	0.48072958	0.7557148	0.9382176	0.9228880405426025	0.3561770021915436	0.6426862478256226	0.9228880405426025	0.9228880405426025
4	0.79762954	0.09075957274920232	0.00033	0.49304307	0.75593144	0.94297904	0.9369996786117554	0.17365662753582	0.6838228702545166	0.9369996786117554	0.9369996786117554
5	0.8055917	0.07847840953114871	0.00033	0.506539	0.7566687	0.9481614	0.9476791620254517	0.21017181873321533	0.7053559422492981	0.9476791620254517	0.9476791620254517
6	0.81393534	0.07674662879592664	0.00033	0.5190981	0.7645445	0.9486355	0.9249860644340515	0.3722322881221771	0.6648674011230469	0.9249860644340515	0.924985945224762
7	0.81079555	0.07103892647334047	0.00033	0.5194151	0.7657228	0.9517689	0.9721177816390991	0.11899985373020172	0.7935904860496521	0.9721177816390991	0.9721177816390991
8	0.8238467	0.06833332253469003	0.00033	0.53245646	0.7614158	0.95263964	0.9786473512649536	0.06707417219877243	0.8219725489616394	0.9786473512649536	0.9786473512649536
9	0.8312625	0.06190705389992611	0.00033	0.54718155	0.7726684	0.9554225	0.979360818862915	0.07306593656539917	0.8134885430335999	0.979360818862915	0.979360818862915
10	0.8274368	0.059551081041226514	0.00033	0.5472902	0.77385867	0.9564968	0.9793696999549866	0.05338834598660469	0.8294259905815125	0.9793696999549866	0.9793696999549866
11	0.8235213	0.05907887562706664	0.00033	0.5477003	0.7729774	0.95636314	0.9804517030715942	0.04452349618077278	0.8349609971046448	0.9804517030715942	0.9804517030715942
12	0.82404274	0.05436262125904496	0.00033	0.5483198	0.7729311	0.95832497	0.9816135168075562	0.03876087814569473	0.8364761471748352	0.9816135168075562	0.9816135168075562
13	0.83369404	0.052164210459670506	0.00033	0.5540773	0.7705426	0.9593244	0.9834584593772888	0.03275766223669052	0.8559024333953857	0.9834584593772888	0.9834584593772888
14	0.8313964	0.05277238443896577	0.00033	0.5618238	0.7822227	0.9588011	0.9803591370582581	0.045072488486766815	0.803167998790741	0.9803591370582581	0.9803591370582581
15	0.82172054	0.0477654325800973	0.00033	0.5448374	0.7687279	0.9612053	0.9832027554512024	0.033486396074295044	0.8572008609771729	0.9832027554512024	0.9832027554512024
16	0.84053075	0.04853308321656408	0.00033	0.5676237	0.7837316	0.96092105	0.9808312654495239	0.039679139852523804	0.8450019359588623	0.9808312654495239	0.9808312654495239
17	0.83069015	0.04790704455730077	0.00033	0.5574632	0.77175087	0.9610946	0.9854472279548645	0.033518366515636444	0.8638307452201843	0.9854472279548645	0.9854472279548645
18	0.8428957	0.046297340074906476	0.00033	0.5741043	0.7803072	0.96177685	0.9817085266113281	0.04423347860574722	0.8522534370422363	0.9817085266113281	0.9817085266113281
19	0.84392244	0.04414872895624187	3.3000001e-06	0.5812788	0.7809266	0.9622179	0.9851253032684326	0.030287090688943863	0.8700382113456726	0.9851253032684326	0.9851253032684326
20	0.83692765	0.04160145977260293	3.3000001e-06	0.56720495	0.7751156	0.9635218	0.9864193797111511	0.0281404759734869	0.8786082863807678	0.9864193797111511	0.9864193797111511
21	0.83485675	0.040041258155896854	3.3000001e-06	0.5669813	0.7722435	0.96425617	0.986983597278595	0.029296213760972023	0.8809804320335388	0.986983597278595	0.986983597278595
22	0.833638	0.04047250732578136	3.3000001e-06	0.5659186	0.7735028	0.96397924	0.9871300458908081	0.03033829852938652	0.8812339901924133	0.9871300458908081	0.9871300458908081
23	0.83378476	0.039519810495344365	3.3000001e-06	0.5639145	0.776548	0.9647877	0.987298846244812	0.028934378176927567	0.8823821544647217	0.987298846244812	0.987298846244812
24	0.8340415	0.04024277768425039	3.3000001e-06	0.565555	0.78012604	0.9642237	0.987299382686615	0.026720236986875534	0.8818197250366211	0.987299382686615	0.987299382686615
25	0.8308138	0.039682413929620304	3.3000001e-06	0.5612422	0.77186596	0.96439123	0.9872828722000122	0.028655726462602615	0.8813762664794922	0.9872828722000122	0.9872828125953674
26	0.83158237	0.03980578159963762	3.3000001e-06	0.56283754	0.77719784	0.9642836	0.9872855544090271	0.0292764063924551	0.882165253162384	0.9872855544090271	0.9872855544090271
27	0.83337426	0.03957008761731354	3.3000001e-06	0.5671238	0.7812521	0.9643239	0.9873696565628052	0.03480524197220802	0.8816431164741516	0.9873696565628052	0.9873696565628052
28	0.8365585	0.04052098870680139	3.3000001e-06	0.576286	0.78871584	0.9640116	0.9874833226203918	0.03332884609699249	0.8830723762512207	0.9874833226203918	0.9874833226203918
29	0.83528465	0.039216369742879995	3.3000001e-06	0.57141554	0.7870507	0.9650157	0.9873663187026978	0.03396201133728027	0.8840050101280212	0.9873663187026978	0.9873663187026978
30	0.8301989	0.03811019774828408	3.3000003e-08	0.5611979	0.774344	0.9653611	0.9875720143318176	0.029520481824874878	0.8837013244628906	0.9875720143318176	0.9875720143318176
31	0.831273	0.03901615955338285	3.3000003e-08	0.56507	0.7761233	0.96465015	0.9874258637428284	0.032406359910964966	0.8826228976249695	0.9874258637428284	0.9874258637428284
32	0.8336716	0.03896479489835533	3.3000003e-08	0.57020175	0.78290355	0.9648702	0.9874312877655029	0.03498039394617081	0.88421630859375	0.9874312877655029	0.9874312877655029
33	0.8311374	0.03935304248856532	3.3000003e-08	0.56128764	0.77614933	0.9643482	0.9876019358634949	0.02959463559091091	0.8838661313056946	0.9876019358634949	0.9876019358634949
34	0.83133405	0.039804262587347546	3.3000003e-08	0.5676455	0.7786911	0.96419984	0.9875128269195557	0.028512578457593918	0.8841102123260498	0.9875128269195557	0.9875128269195557
35	0.8284482	0.03762378206325544	3.3000003e-10	0.5601918	0.7702103	0.9655075	0.9875838756561279	0.031859274953603745	0.8848316073417664	0.9875839352607727	0.9875838756561279
36	0.8332155	0.03931883631928547	3.3000003e-10	0.5670973	0.78187865	0.9646711	0.9872497916221619	0.03758002072572708	0.8800864815711975	0.9872497916221619	0.9872497916221619
37	0.83058894	0.03996154142392648	3.3000003e-10	0.5626511	0.7760889	0.9643643	0.9877148866653442	0.03426377475261688	0.8854853510856628	0.9877148866653442	0.9877148866653442
38	0.82865644	0.03862183047710238	3.3000003e-10	0.55899334	0.77212524	0.9649366	0.9874678254127502	0.037377793341875076	0.8841966986656189	0.9874678254127502	0.9874678254127502
39	0.8330347	0.0386076728637154	3.3000003e-10	0.5647153	0.7807798	0.9651353	0.9875796437263489	0.03365291282534599	0.8840435147285461	0.9875796437263489	0.9875796437263489
40	0.8319498	0.038914040939227956	3.3000002e-12	0.5662258	0.77837	0.9647649	0.987532913684845	0.03924620524048805	0.8846109509468079	0.987532913684845	0.987532913684845
41	0.8289861	0.038949166047009265	3.3000002e-12	0.5592245	0.7743299	0.96493036	0.9875527024269104	0.03509451076388359	0.8837530016899109	0.9875527024269104	0.9875527024269104
42	0.83106065	0.03956293178772604	3.3000002e-12	0.56324476	0.77805275	0.96420884	0.9876359105110168	0.028559833765029907	0.884056806564331	0.9876359105110168	0.9876359105110168
43	0.829147	0.03917216041402237	3.3000002e-12	0.56450367	0.7740225	0.96454906	0.9875282645225525	0.026910141110420227	0.8839097023010254	0.9875282645225525	0.9875282645225525
44	0.83151525	0.038152463482441126	3.3000002e-12	0.5615909	0.7743964	0.9652698	0.9874213933944702	0.026419853791594505	0.8823203444480896	0.9874213933944702	0.9874213933944702
45	0.83064276	0.039264525211340676	3.3000002e-12	0.5629269	0.7753253	0.9644952	0.9874591827392578	0.025673246011137962	0.8834977746009827	0.9874591827392578	0.9874591827392578
46	0.8281166	0.04025997211401527	3.3000002e-12	0.5602041	0.77284807	0.96383816	0.9873790740966797	0.027771547436714172	0.8829853534698486	0.9873790740966797	0.9873790740966797
47	0.8305717	0.0385999480212057	3.3000002e-12	0.5609756	0.7744487	0.96495354	0.98747318983078	0.027077337726950645	0.8831560015678406	0.98747318983078	0.98747318983078
